location,best_model,r2_train,r2_test,mae_test,rmse_test,overfitting_gap
camp_murray,Ridge,0.7376510512349312,0.7422812735061055,2.556014915847062,3.5844774695212087,-0.004630222271174267
grissom,Linear,0.6152546311200295,0.698822463803719,2.67806625722242,3.606200046221222,-0.0835678326836895
hill_weber,XGBoost,0.8448914016100499,0.7259834237270619,2.398832436327824,3.6015697645533624,0.11890797788298801
jdmt,GradientBoosting,0.676569659623907,0.5862310129014882,3.4932132821786657,4.6829699057633585,0.09033864672241887
kahului,Ridge,0.381486715695629,0.44053466850737144,4.7212085397498615,5.801777862890308,-0.059047952811742466
malmstrom,Ridge,0.6413670756383901,0.6962936374870736,2.7690598290701693,3.9036012927325534,-0.0549265618486835
march_afb,Linear,0.5996012175287156,0.634161890309218,1.9984724855975051,2.92847563936573,-0.034560672780502344
mnang,GradientBoosting,0.8547700198487903,0.7126071937039737,2.744691954059065,4.139349499051847,0.14216282614481657
offutt,Ridge,0.5820645046888544,0.6418464643370929,3.9408543715891184,4.972262843427005,-0.059781959648238514
peterson,RandomForest,0.7485892373434127,0.6089395817129741,2.8684167286133437,4.223662201561159,0.13964965563043852
travis,GradientBoosting,0.8615157222589414,0.791047910289561,1.8850355971172543,3.0718210688715795,0.07046781196938035
usafa,Ridge,0.5120199078121589,0.5024846533889247,2.9765741037430264,4.116197472102303,0.009535254423234218
